cluster_id,gaia_name,radius_deg,disp_p02_3,disp_p15_9,disp_p50,disp_p84_1,disp_p97_7,rot_p02_3,rot_p15_9,rot_p50,rot_p84_1,rot_p97_7,rot_extra,source_file
BH_261_AL_3,BH_261_AL_3,0.007,0.0309325,0.0541698,0.076589,0.105885,0.137446,-0.0984698,-0.0547865,-0.0155758,0.023112,0.0656254,-0.00548187,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00733333,0.0292834,0.0533068,0.0752368,0.104267,0.135491,-0.100739,-0.0561554,-0.0160444,0.0232849,0.0669754,-0.00550881,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00766667,0.0284125,0.0521542,0.0739988,0.102719,0.133492,-0.102835,-0.0574095,-0.0163266,0.0234784,0.0681979,-0.00552358,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.008,0.0277892,0.0511676,0.0729628,0.101184,0.13164,-0.104594,-0.0586436,-0.0167647,0.0234053,0.0693418,-0.00552753,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00833333,0.0273829,0.0505302,0.0718706,0.0997954,0.130288,-0.105745,-0.0594928,-0.0170215,0.023494,0.0708689,-0.00552192,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00866667,0.0266123,0.0499604,0.0707877,0.0985786,0.129067,-0.107081,-0.0600497,-0.0171758,0.0235058,0.0715545,-0.00550791,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.009,0.0262951,0.0492231,0.0697026,0.0970257,0.127182,-0.10789,-0.0608167,-0.0174276,0.0234803,0.0720075,-0.00548654,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00933333,0.0259853,0.0486407,0.0687058,0.0956225,0.125358,-0.108172,-0.0610971,-0.0176325,0.0231462,0.0716064,-0.00545877,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00966667,0.0256764,0.0480672,0.0677906,0.0944034,0.123523,-0.108206,-0.0614113,-0.0177878,0.0230224,0.0716236,-0.00542548,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.01,0.0253728,0.0475496,0.066887,0.0928561,0.121612,-0.108734,-0.0618756,-0.0180797,0.0227935,0.0713679,-0.00538743,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.0103333,0.0248602,0.0467562,0.065973,0.091377,0.119629,-0.107784,-0.0622827,-0.0181152,0.0225734,0.0709321,-0.00534533,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.0106667,0.0243496,0.0461357,0.0651587,0.0897938,0.118142,-0.106823,-0.06265,-0.0183056,0.0222082,0.0702982,-0.0052998,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.011,0.0234841,0.0455867,0.0641728,0.0885786,0.116368,-0.106395,-0.0623437,-0.0179752,0.0217757,0.0694719,-0.00525139,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.0113333,0.0226406,0.0448131,0.0632015,0.0871962,0.114929,-0.105822,-0.0623539,-0.0179508,0.0213329,0.0672475,-0.00520061,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.0116667,0.0225896,0.0442911,0.0622112,0.0853586,0.113157,-0.104252,-0.061848,-0.0186098,0.0210508,0.0666323,-0.00514787,profiles/BH_261_AL_3.txt
