cluster_id,gaia_name,catalogue_file,n_sources,n_finite_pm,n_finite_phot,n_p50,n_p70,n_p90,n_p95,n_primary_q2_p90,median_density_arcmin2,p90_density_arcmin2,median_g,median_bp_rp,median_pmra,median_pmdec
NGC6366,NGC_6366,catalogues/NGC_6366.txt,13858,13858,12566,9305,9027,8362,7805,5560,42.32,174.8,19.5857,1.7756,-0.4242,-5.13345
NGC6380,NGC_6380_Ton1,catalogues/NGC_6380_Ton1.txt,4287,4287,3570,961,833,598,464,146,71.96,276.14000000000004,18.9229,2.51605,-2.0359,-3.6061
NGC6388,NGC_6388,catalogues/NGC_6388.txt,35425,35425,30237,5150,3869,2210,1664,600,99.53,188.8,19.4073,1.3845,-1.7153,-3.9682
NGC6397,NGC_6397,catalogues/NGC_6397.txt,103786,103786,93341,35807,35648,35247,34882,20293,45.26,181.9,19.2696,1.1846,0.1084,-7.499
NGC6401,NGC_6401,catalogues/NGC_6401.txt,4852,4852,3642,646,574,450,388,115,160.4,230.57000000000016,18.879649999999998,2.1917999999999997,-2.6948999999999996,-3.5374999999999996
NGC6402,NGC_6402_M_14,catalogues/NGC_6402_M_14.txt,13445,13445,10666,9341,8862,7491,6289,3007,152.8,313.96000000000004,19.7249,1.55445,-3.4774,-5.0457
NGC6426,NGC_6426,catalogues/NGC_6426.txt,1396,1396,1269,682,643,556,500,260,30.795,211.15,19.660400000000003,1.3479,-1.8182,-3.1322
NGC6440,NGC_6440,catalogues/NGC_6440.txt,4801,4801,3621,1301,1057,703,491,177,146.3,345.1,19.0102,2.4369,-1.5419,-4.1514
NGC6441,NGC_6441,catalogues/NGC_6441.txt,22109,22109,15763,2955,2246,1278,811,369,188.0,238.82000000000008,18.9456,1.6081,-2.4893,-5.2162
NGC6453,NGC_6453,catalogues/NGC_6453.txt,6086,6086,4127,433,347,228,180,58,206.1,253.6,18.6202,1.7537,-1.96345,-5.1797
NGC6496,NGC_6496,catalogues/NGC_6496.txt,8632,8632,6771,3490,3288,2737,2306,924,108.6,346.8700000000001,19.61385,1.1975,-2.73495,-7.7765
NGC6517,NGC_6517,catalogues/NGC_6517.txt,3146,3146,2643,1373,1184,873,686,271,60.55,285.6,19.58025,2.315,-1.61225,-4.4323999999999995
NGC6522,NGC_6522,catalogues/NGC_6522.txt,5257,5257,3810,553,495,402,339,60,182.2,201.6,17.8302,1.5934499999999998,-1.3463,-5.4825
NGC6528,NGC_6528,catalogues/NGC_6528.txt,2426,2426,1719,235,177,114,78,16,177.1,282.35,18.1478,1.8078,-2.12905,-5.2593499999999995
NGC6535,NGC_6535,catalogues/NGC_6535.txt,2764,2764,2446,1250,1180,995,891,565,50.785,253.67000000000002,19.626350000000002,1.3779,-3.71665,-3.1967999999999996
NGC6539,NGC_6539,catalogues/NGC_6539.txt,6527,6527,5780,2240,2150,1949,1776,798,48.4,203.44000000000005,19.585,2.1946000000000003,-3.7354,-3.6902
NGC6540,NGC_6540_Djorg,catalogues/NGC_6540_Djorg.txt,2415,2415,1769,116,90,57,40,13,187.0,212.2,17.8266,1.5503,-2.505,-4.3782
NGC6541,NGC_6541,catalogues/NGC_6541.txt,37666,37666,32168,11471,10831,9399,8166,3330,72.34,227.1,19.339550000000003,1.0,-0.45525000000000004,-6.6225000000000005
NGC6544,NGC_6544,catalogues/NGC_6544.txt,45816,45816,35151,9379,9301,9097,8943,2602,139.0,184.4,19.0182,2.3989,-2.0112,-5.35605
NGC6553,NGC_6553,catalogues/NGC_6553.txt,19343,19343,14370,2758,2278,1470,1112,350,170.4,174.1,18.344,2.0514,-1.2915,-3.4664
NGC6558,NGC_6558,catalogues/NGC_6558.txt,5206,5206,3738,296,223,119,84,28,173.8,221.8,18.8582,1.4009,-1.8987500000000002,-4.621
NGC6569,NGC_6569,catalogues/NGC_6569.txt,9180,9180,6580,1439,1178,857,682,253,172.0,234.3,19.1632,1.609,-2.7025,-5.617900000000001
NGC6584,NGC_6584,catalogues/NGC_6584.txt,5840,5840,4801,3312,3127,2614,2196,1047,84.495,337.1300000000001,19.57625,0.9221,-0.2087,-7.0733999999999995
NGC6624,NGC_6624,catalogues/NGC_6624.txt,8578,8578,6369,1444,1181,723,506,181,160.2,205.9,18.998849999999997,1.2592,-1.2517,-5.6662
NGC6626,NGC_6626_M_28,catalogues/NGC_6626_M_28.txt,36300,36300,26153,5054,4527,3395,2626,750,182.0,189.0,18.81875,1.4279,-1.6251,-5.48515
