cluster_id,gaia_catalogue_available,gaia_profile_available,hst_hacks_profile_available,apogee_available,n_gaia_profile_bins,n_hst_bins,n_apogee_rows,median_gaia_density_arcmin2,ready_for_gaia_hst_validation
PFLEIDERER_2,1,0,0,0,0,0,0,28.01,0
PYXIS,1,0,0,0,0,0,0,20.335,0
RUP106,0,0,0,1,0,0,2,,0
RUP_106,1,0,0,0,0,0,0,64.04,0
RYU_059_RLGC1,1,0,0,0,0,0,0,40.34,0
RYU_879_RLGC2,1,0,0,0,0,0,0,177.9,0
SEGUE_3,1,0,0,0,0,0,0,5.0835,0
TER10,0,0,0,0,0,0,0,,0
TER12,0,0,0,0,0,0,0,,0
TER2,0,0,0,0,0,0,0,,0
TER4,0,0,0,0,0,0,0,,0
TER5,0,0,0,0,0,0,0,,0
TER9,0,0,0,0,0,0,0,,0
TERZAN_10,1,1,0,0,101,0,0,122.9,0
TERZAN_12,1,1,0,0,101,0,0,73.135,0
TERZAN_1_HP_2,1,1,0,0,101,0,0,134.0,0
TERZAN_2_HP_3,1,1,0,0,101,0,0,128.6,0
TERZAN_3,1,1,0,0,101,0,0,54.79,0
TERZAN_4_HP_4,1,1,0,0,101,0,0,91.22,0
TERZAN_5_11,1,1,0,0,101,0,0,120.7,0
TERZAN_6_HP_5,1,1,0,0,101,0,0,136.85,0
TERZAN_7,1,0,0,0,0,0,0,26.565,0
TERZAN_8,1,0,0,0,0,0,0,15.86,0
TERZAN_9,1,1,0,0,101,0,0,153.8,0
TON2,0,0,0,0,0,0,0,,0
TON2_PISMIS26,1,1,0,0,101,0,0,80.33,0
UKS1,0,0,0,0,0,0,0,,0
UKS_1,1,0,0,0,0,0,0,57.97,0
VVV_CL001,1,0,0,0,0,0,0,67.475,0
VVV_CL002,1,0,0,0,0,0,0,38.65,0
WHITING_1,1,0,0,0,0,0,0,5.064,0
