cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC2808,23,369,91.4613,0.201,0.005,0.204524570405024,0.0162890201460428,0.0035245704050235,0.0175351761443959,0.206851466726795,0.206851466726795,0.207,0.008,0.194,0.007,0.121659782025251,114.8,132
NGC2808,24,369,101.5505,0.19,0.005,0.200592015549235,0.0139609795265326,0.0105920155492352,0.0557474502591328,0.714261362419641,0.714261362419641,0.203,0.008,0.178,0.007,0.2311388288966,114.8,132
NGC3201,2,152,32.6546,0.183,0.008,0.186417696084246,0.0094700704386416,0.0034176960842462,0.0186759348865915,0.275690377561072,0.189908319024313,0.176,0.011,0.191,0.011,-0.177718233471075,30.88,215
NGC3201,3,152,47.9161,0.18,0.007,0.183930706757791,0.0084215902541769,0.0039307067577909,0.0218372597655054,0.358937697793497,0.246313489050358,0.179,0.011,0.183,0.011,-0.045192097624918,30.88,215
NGC3201,4,152,63.6131,0.186,0.008,0.181393069220113,0.0074015401128775,-0.0046069307798866,-0.024768445053154,-0.422702595923267,-0.308491335020143,0.189,0.011,0.182,0.011,0.0727023319615913,30.88,215
NGC3201,5,152,78.8741,0.172,0.007,0.17896637498915,0.0064222137696008,0.0069663749891499,0.0405021801694766,0.733323636285611,0.536046303981832,0.18,0.011,0.165,0.01,0.159722222222222,30.88,215
NGC3201,6,152,97.6195,0.2,0.009,0.175925651670212,0.0053397819646033,-0.0240743483297883,-0.120371741648942,-2.30049431150685,-1.8793305004461,0.2,0.012,0.201,0.012,-0.010025,30.88,215
NGC4590,1,69,13.5896,0.076,0.005,0.0847285606283374,0.0132031122217395,0.0087285606283373,0.114849481951807,0.618250999281363,0.618250999281363,0.077,0.008,0.073,0.007,0.101197503794907,77.38,41
NGC4590,2,84,29.1544,0.077,0.005,0.0818576793291221,0.0107307242129439,0.004857679329122,0.0630867445340532,0.410331355579733,0.410331355579733,0.075,0.007,0.079,0.007,-0.109511111111111,77.38,41
NGC4590,3,84,44.4527,0.072,0.005,0.0788599351624814,0.0087040424306602,0.0068599351624814,0.0952768772566865,0.683400303376672,0.683400303376672,0.08,0.007,0.065,0.006,0.33984375,77.38,41
NGC4590,4,83,58.0196,0.076,0.005,0.0761730034107916,0.0070340620027197,0.0001730034107916,0.0022763606683108,0.0200465933236866,0.0200465933236866,0.079,0.007,0.075,0.007,0.098702131068739,77.38,41
NGC4590,5,83,75.9885,0.066,0.004,0.0726352115297971,0.0053860130124574,0.006635211529797,0.100533508027228,0.989018541899912,0.989018541899912,0.059,0.005,0.075,0.007,-0.615914966963516,77.38,41
NGC4833,2,135,15.5238,0.193,0.009,0.192402120271588,0.027560817730908,-0.000597879728412,-0.0030978224270052,-0.0206214632371486,-0.0206214632371486,0.201,0.013,0.186,0.012,0.14368456226331,70.44,0
NGC4833,3,171,24.2585,0.193,0.008,0.19073272048013,0.0251202633826286,-0.0022672795198699,-0.0117475622791187,-0.0860011046160251,-0.0860011046160251,0.192,0.011,0.195,0.011,-0.031494140625,70.44,0
NGC4833,4,171,32.0209,0.199,0.008,0.189355252092573,0.0230920294087513,-0.0096447479074273,-0.0484660698865694,-0.394653332778895,-0.394653332778895,0.192,0.011,0.207,0.012,-0.162353515625,70.44,0
